character,chapter_id,mean_sentiment,n_lines,pos_ratio,neg_ratio
Alyx,2a,0.143,7,0.143,0.0
Alyx,2b,0.087,23,0.304,0.217
Alyx,2c,0.0,1,0.0,0.0
Alyx,2e,-0.038,26,0.231,0.269
Alyx,2f,0.0,3,0.0,0.0
Alyx,2j,0.0,77,0.247,0.247
Alyx,2n,0.103,29,0.414,0.31
Citizen,2a,-0.111,27,0.111,0.222
Citizen,2c,-0.214,14,0.286,0.5
Citizen,2d,-0.083,12,0.167,0.25
Citizen,2f,0.143,14,0.357,0.214
Citizen,2g,0.0,5,0.4,0.4
Citizen,2h,-0.167,6,0.167,0.333
Dr. Kleiner,2a,0.4,5,0.4,0.0
Dr. Kleiner,2b,0.244,45,0.444,0.2
Dr. Kleiner,2j,-0.083,12,0.25,0.333
Barney,2a,-0.125,8,0.0,0.125
Barney,2b,-0.071,28,0.357,0.429
Barney,2j,0.25,4,0.5,0.25
Barney,2l,-0.4,15,0.133,0.533
Eli,2b,-0.091,11,0.091,0.182
Eli,2e,0.143,14,0.286,0.143
Eli,2j,0.1,10,0.3,0.2
Eli,2n,-0.4,10,0.1,0.5
Dr. Mossman,2b,-1.0,3,0.0,1.0
Dr. Mossman,2e,0.2,15,0.467,0.267
Dr. Mossman,2j,-0.062,16,0.188,0.25
Dr. Mossman,2n,-0.222,9,0.0,0.222
Dr. Breen,2a,1.0,1,1.0,0.0
Dr. Breen,2b,0.0,2,0.0,0.0
Dr. Breen,2d,-1.0,1,0.0,1.0
Dr. Breen,2j,-0.667,6,0.0,0.667
Dr. Breen,2n,-0.344,32,0.094,0.438
Civil Patrol,2a,0.067,15,0.2,0.133
Civil Patrol,2c,0.25,4,0.25,0.0
Father Gregori,2f,0.0,18,0.333,0.333
Resistance,2j,0.0,7,0.429,0.429
Resistance,2l,0.0,3,0.333,0.333
