Topic,Count,Name,Representation,Representative_Docs
-1,87,-1_like_way_17_city 17,"['like', 'way', '17', 'city 17', 'let', 'suit', 'city', 'gunship', 'welcome', 'train']","['We now have direct confirmation of a disruptor in our midst, one who has acquired an almost meesianic reputation in the minds of certain citizens. His figure is synonymous with the darkest urges of instinct, ignorance, and decay. Some of the worst excesses of the Black Mesa incident have been laid directly at his feet. And yet unsophisticated minds continue to imbue him with romantic power. Giving him such labels as, the one free man, or the opener of the way. Let me remind all citizens of the dangers of magical thinking. We have scarcely begun to climb from the dark pit of our the evolution of our species. Let us not slide backward into oblivion, just as we have finally', 'Hey! Looks like we might be able to get through down there! Lets head that way!', 'Welcome, welcome to city 17, you have chosen or been chosen to relocate to one of our finest remaining urban centers. I thought so much of city 17 that I elected to establish my administration here, in the citadel so thoughtfully provided by our benefactors. I have been proud to call city 17 my home. So whether you are here to stay, or passing through on your way to parts unkown, welcome to city 17, it is safer here.']"
0,145,0_dad_dont_gate_dont worry,"['dad', 'dont', 'gate', 'dont worry', 'worry', 'oh', 'come', 'dog', 'alright', 'open']","['Dont you worry.', 'Oh no no no. Dont worry about me honey.', 'Dont worry dad we will find her. For now I am going to send you to the teleport room. I am not saying goodbye dad. We will meet you there.']"
1,98,1_freeman_dr_dr freeman_eli,"['freeman', 'dr', 'dr freeman', 'eli', 'breen', 'gordon freeman', 'judith', 'doc', 'time', 'dr kliener']","['Dr. Freeman we are coming with you', 'Dr. Freeman? Gordon Freeman?! Is that you? You made it here this quickly? Well is Eli is going to be amazed, not to mention relieved. I am Dr. Mossman, Dr. Judith Mossman. I have been hearing about you since long before the Black Mesa incident. Oh! Black Mesa. I do so envy you working with Eli and Dr. Kliener when they were at the top of their field. Ah! There we go you can come through now.', 'Over here Dr. Freeman.']"
2,82,2_going_station_combine_brother,"['going', 'station', 'combine', 'brother', 'help', 'good', 'teleport', 'come', 'better', 'like']","['Gordon! I have never seen the citadel on full alert like that! Take the old canals out of city 17 to Eli, its dangerous but there is a whole network of resistance members who run the underground railroad. I would come with you but I have to look after Dr. Kliener. Oh and before I forget, I think you dropped this back at black mesa.', 'Get in here, hurry! Civil protection is on to us. We are tearing up the railroad, covering up our tracks. Looks like you are going to be the last one through. Be glad you are not the guy they are looking for. Poor bastard does not stand a chance. Sounds like they are calling in every CP unit in city 17. Now they are flooding the areas up ahead with manhacks. You better get going before they sweep through here', 'Hey, Dr. Freeman I had been hoping you would show up, got this airboat all gassed up and ready to go. Its gonna be tough dodging civil protection out there in the open, but drive hard and you will make it. You will find more help at station 7, just up the river, its the red barn. Climb on in, and fire her up. You had better get going now!']"
3,68,3_gordon_come gordon_dog_come,"['gordon', 'come gordon', 'dog', 'come', 'ahead', 'dont', 'lets', 'head', 'gordon need', 'throw']","['Go Gordon!', 'Is Gordon still with you?', 'Gordon you are here!']"
4,31,4_alyx_gravity gun_gravity_gun,"['alyx', 'gravity gun', 'gravity', 'gun', 'alyx gordon', 'stuff', 'father', 'field', 'car', 'try']","['Ahem. Alyx why dont you take Gordon and show him the gravity gun.', 'Alyx..sweetheart.', 'Where are you Alyx?']"
5,20,5_barney_cat_arrived_alright,"['barney', 'cat', 'arrived', 'alright', 'yes', 'test', 'critical', 'goodness', 'dear right', 'gotten']","['Yes barney and I am no longer alone. Alyx and Gordon have just arrived.', 'Well, Barney what do you intend to do?', 'Barney.. You are not an animal person?']"
6,14,6_week_did_thing_lets just,"['week', 'did', 'thing', 'lets just', 'miscount', 'check', 'ago', 'hand', 'good idea', 'maybe']","['Lets just see if this thing works ok?', 'Oh my god. And you have been working with this thing? For how long?', 'Indeed it did. And the repercussions were felt far and wide.. but that was over a week ago.']"
7,11,7_look_whats_whats going_feel,"['look', 'whats', 'whats going', 'feel', 'wrong', 'free', 'gotta', 'bring', 'hold', 'oh']","['I cant look.', 'Look out!', 'Look at them down there.']"
8,10,8_mossman_dr mossman_sorry_lets,"['mossman', 'dr mossman', 'sorry', 'lets', 'long', 'dr', 'chamber', 'hear', 'prison', 'met']","['Sorry it took me so long. Glad to see you are okay. Lets see if we can find Mossman. It looks like this station might give me better access.', 'This is not open to debate Dr. Mossman.', 'So I seen you met Dr. Mossman, she is one of the main reasons I spend so much time outside. You should hear her drone on about how it should have been her in the Black Mesa test chamber that day. I am sorry I shouldnt be talking behind her back, it just gets a bit cluastraphobic down here.']"
